,home_lineup_key,event_length,names
1,"101108, 1626164, 1628470, 1629661, 203967",118.0,"['Chris Paul', 'Devin Booker', 'Torrey Craig', 'Cameron Johnson', 'Dario Saric']"
2,"101108, 1626164, 1628969, 1629028, 1629661",112.0,"['Chris Paul', 'Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Cameron Johnson']"
3,"101108, 1626164, 1628969, 1629028, 203109",1213.0,"['Chris Paul', 'Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Jae Crowder']"
5,"101108, 1626164, 1628969, 203109, 203967",7.0,"['Chris Paul', 'Devin Booker', 'Mikal Bridges', 'Jae Crowder', 'Dario Saric']"
7,"101108, 1626166, 1628470, 1629661, 203967",231.0,"['Chris Paul', 'Cameron Payne', 'Torrey Craig', 'Cameron Johnson', 'Dario Saric']"
8,"101108, 1628470, 1628969, 1629661, 203967",150.0,"['Chris Paul', 'Torrey Craig', 'Mikal Bridges', 'Cameron Johnson', 'Dario Saric']"
13,"1626163, 1628975, 1630188, 202734, 204038",365.0,"['Frank Kaminsky', 'Jevon Carter', 'Jalen Smith', ""E'Twaun Moore"", 'Langston Galloway']"
14,"1626164, 1626166, 1628470, 1629028, 1629661",49.0,"['Devin Booker', 'Cameron Payne', 'Torrey Craig', 'Deandre Ayton', 'Cameron Johnson']"
15,"1626164, 1626166, 1628470, 1629661, 203967",188.0,"['Devin Booker', 'Cameron Payne', 'Torrey Craig', 'Cameron Johnson', 'Dario Saric']"
17,"1626164, 1626166, 1628969, 1629028, 203109",84.0,"['Devin Booker', 'Cameron Payne', 'Mikal Bridges', 'Deandre Ayton', 'Jae Crowder']"
18,"1626164, 1626166, 1629028, 1629661, 203109",82.0,"['Devin Booker', 'Cameron Payne', 'Deandre Ayton', 'Cameron Johnson', 'Jae Crowder']"
19,"1626164, 1626166, 1629661, 203109, 203967",131.0,"['Devin Booker', 'Cameron Payne', 'Cameron Johnson', 'Jae Crowder', 'Dario Saric']"
20,"1626166, 1628470, 1628969, 1629661, 203967",150.0,"['Cameron Payne', 'Torrey Craig', 'Mikal Bridges', 'Cameron Johnson', 'Dario Saric']"
